Source,Target,Type,Id,Label,timeset,Weight
113897213765,115103012029416,Directed,0,,,1
113897213765,157216494332099,Directed,1,,,1
113897213765,111541054636,Directed,2,,,1
113897213765,21976174279,Directed,3,,,1
113897213765,27104741639,Directed,4,,,1
113897213765,374523755953597,Directed,5,,,1
113897213765,410769092335189,Directed,6,,,1
113897213765,7057882289,Directed,7,,,1
113897213765,211453825667547,Directed,8,,,1
113897213765,344122032266720,Directed,9,,,1
113897213765,123333434489486,Directed,10,,,1
113897213765,492306324142423,Directed,11,,,1
113897213765,120578257977137,Directed,12,,,1
113897213765,131095156915715,Directed,13,,,1
113897213765,162676127164370,Directed,14,,,1
113897213765,315650871855629,Directed,15,,,1
113897213765,174600353791,Directed,16,,,1
113897213765,133488380013999,Directed,17,,,1
113897213765,171105376310030,Directed,18,,,1
113897213765,121635201218067,Directed,19,,,1
113897213765,7802084642,Directed,20,,,1
113897213765,150791208365503,Directed,21,,,1
113897213765,374899661312,Directed,22,,,1
113897213765,111355981336,Directed,23,,,1
113897213765,121688864519252,Directed,24,,,1
113897213765,166891610014560,Directed,25,,,1
113897213765,255631661185910,Directed,26,,,1
113897213765,54474067707,Directed,27,,,1
113897213765,119524084796419,Directed,28,,,1
113897213765,107399149282246,Directed,29,,,1
113897213765,129034290451596,Directed,30,,,1
113897213765,227680145354,Directed,31,,,1
113897213765,166712823509,Directed,32,,,1
113897213765,204571406251346,Directed,33,,,1
113897213765,123064574395395,Directed,34,,,1
113897213765,172791839444620,Directed,35,,,1
113897213765,203088523035971,Directed,36,,,1
113897213765,147835939351,Directed,37,,,1
113897213765,114144098601914,Directed,38,,,1
113897213765,6108793458,Directed,39,,,1
113897213765,96039541606,Directed,40,,,1
113897213765,248116567168,Directed,41,,,1
113897213765,444438070071,Directed,42,,,1
113897213765,48462650317,Directed,43,,,1
113897213765,152064966115,Directed,44,,,1
113897213765,140323369373151,Directed,45,,,1
113897213765,126461805681,Directed,46,,,1
113897213765,108415634782,Directed,47,,,1
113897213765,87047736106,Directed,48,,,1
157216494332099,374899661312,Directed,49,,,1
27104741639,113897213765,Directed,50,,,1
410769092335189,131095156915715,Directed,51,,,1
410769092335189,315650871855629,Directed,52,,,1
410769092335189,126461805681,Directed,53,,,1
410769092335189,410769092335189,Directed,54,,,1
410769092335189,113897213765,Directed,55,,,1
410769092335189,147835939351,Directed,56,,,1
344122032266720,374899661312,Directed,57,,,1
344122032266720,166891610014560,Directed,58,,,1
344122032266720,113897213765,Directed,59,,,1
123333434489486,54474067707,Directed,60,,,1
123333434489486,315650871855629,Directed,61,,,1
123333434489486,203088523035971,Directed,62,,,1
123333434489486,108415634782,Directed,63,,,1
123333434489486,126461805681,Directed,64,,,1
123333434489486,140323369373151,Directed,65,,,1
123333434489486,152064966115,Directed,66,,,1
123333434489486,48462650317,Directed,67,,,1
123333434489486,444438070071,Directed,68,,,1
123333434489486,6108793458,Directed,69,,,1
123333434489486,96039541606,Directed,70,,,1
123333434489486,147835939351,Directed,71,,,1
123333434489486,204571406251346,Directed,72,,,1
123333434489486,166712823509,Directed,73,,,1
123333434489486,113897213765,Directed,74,,,1
123333434489486,227680145354,Directed,75,,,1
123333434489486,129034290451596,Directed,76,,,1
123333434489486,107399149282246,Directed,77,,,1
123333434489486,119524084796419,Directed,78,,,1
123333434489486,255631661185910,Directed,79,,,1
123333434489486,166891610014560,Directed,80,,,1
123333434489486,121688864519252,Directed,81,,,1
123333434489486,111355981336,Directed,82,,,1
123333434489486,150791208365503,Directed,83,,,1
123333434489486,7802084642,Directed,84,,,1
123333434489486,171105376310030,Directed,85,,,1
123333434489486,133488380013999,Directed,86,,,1
123333434489486,131095156915715,Directed,87,,,1
123333434489486,492306324142423,Directed,88,,,1
123333434489486,374523755953597,Directed,89,,,1
123333434489486,114144098601914,Directed,90,,,1
123333434489486,120578257977137,Directed,91,,,1
123333434489486,248116567168,Directed,92,,,1
123333434489486,87047736106,Directed,93,,,1
123333434489486,121635201218067,Directed,94,,,1
492306324142423,114144098601914,Directed,95,,,1
492306324142423,119524084796419,Directed,96,,,1
492306324142423,211453825667547,Directed,97,,,1
492306324142423,96039541606,Directed,98,,,1
492306324142423,248116567168,Directed,99,,,1
492306324142423,113897213765,Directed,100,,,1
131095156915715,410769092335189,Directed,101,,,1
131095156915715,126461805681,Directed,102,,,1
131095156915715,123064574395395,Directed,103,,,1
131095156915715,107399149282246,Directed,104,,,1
131095156915715,119524084796419,Directed,105,,,1
131095156915715,113897213765,Directed,106,,,1
162676127164370,166891610014560,Directed,107,,,1
315650871855629,119524084796419,Directed,108,,,1
315650871855629,113897213765,Directed,109,,,1
174600353791,166891610014560,Directed,110,,,1
174600353791,113897213765,Directed,111,,,1
133488380013999,171105376310030,Directed,112,,,1
133488380013999,123333434489486,Directed,113,,,1
133488380013999,123064574395395,Directed,114,,,1
133488380013999,172791839444620,Directed,115,,,1
133488380013999,113897213765,Directed,116,,,1
133488380013999,54474067707,Directed,117,,,1
121635201218067,123333434489486,Directed,118,,,1
121635201218067,150791208365503,Directed,119,,,1
121635201218067,96039541606,Directed,120,,,1
121635201218067,114144098601914,Directed,121,,,1
